ALB,"Albuquerque"
AP,"Arlington Park"
AQU,"Aqueduct"
ATL,"Atlantic City"
BM,"Bay Meadows"
BEL,"Belmont"
BEU,"Beulah Park"
BRD,"Blue Ribbon Downs"
CRC,"Calder"
CD,"Churchill Downs"
CT,"Charles Town"
DBY,"Kentucky Derby"
DEL,"Delaware Park"
DED,"Delta Downs"
DMR,"Del Mar"
EMD,"Emerald Downs"
EVD,"Evangeline Downs"
FMT,"Fair Meadows Tulsa"
FPK,"Fairmount Park"
FON,"Fonner Park"
FE,"Fort Erie"
FG,"Fair Grounds"
GLD,"Great Lakes Downs"
GP,"Gulfstream Park"
GPW,"Gulfstream Park West"
HST,"Hastings Park"
HAW,"Hawthorne"
HOL,"Hollywood Park"
HOU,"Sam Houston Park"
IND,"Indiana Downs"
KD,"Kentucky Downs"
KEE,"Keeneland"
LRL,"Laurel Park"
LS,"Lone Star Park"
LA,"Los Alamitos"
LRC,"Los Alamitos Tb"
MAN,"Manor Downs"
MNR,"Mountaineer"
MTH,"Monmouth Park"
MVR,"Mahoning Valley"
OP,"Oaklawn Park"
PEN,"Penn National"
PHA,"Philadelphia Park"
PIM,"Pimlico"
PM,"Portland Meadows"
PRK,"Preakness Stakes"
PRM,"Prairie Meadows"
PRX,"Parx Racing"
RET,"Retama Park"
RD,"River Downs"
SA,"Santa Anita"
SAR,"Saratoga"
STP,"Stampede Park"
SUF,"Suffolk Downs"
SUD,"Sun Downs"
SUN,"Sunland Park"
TAM,"Tampa Bay Downs"
TDN,"Thistledown"
TP,"Turfway Park"
TUP,"Turf Paradise"
WO,"Woodbine"
